NPI,YM_Date,sales,Units,Digital RX impressions,AMOUNT_SPENT_USD,REACH,LINK_CLICKS,IMPRESSIONS,HCP Interactioncs (Imperssion),VUMEDI Data,Call Activity,EMAIL_OPEN_COUNT,EMAIL_CLICK_COUNT
1427216027,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427255447,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427261437,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427262757,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427266956,01-08-2025,1.933333333,28,0,0,0,0,0,0,0,0,0,0
1427271154,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427319334,01-08-2025,7,30,0,0,0,0,0,0,0,0,0,0
1427403641,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427410810,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427440544,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1427477868,01-08-2025,2.266666667,120,0,0,0,0,0,0,0,0,0,0
1427477868,01-08-2025,2.266666667,28,0,0,0,0,0,0,0,0,0,0
1427762442,01-08-2025,1.333333333,120,0,0,0,0,0,0,0,0,0,0
1437100773,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437140175,01-08-2025,1.333333333,120,0,0,0,0,0,0,0,0,0,0
1437187747,01-08-2025,0.933333333,84,0,0,0,0,0,0,0,0,0,0
1437190543,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437190634,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437211372,01-08-2025,1.5,15,0,0,0,0,0,0,0,0,0,0
1437211372,01-08-2025,1.5,30,0,0,0,0,0,0,0,0,0,0
1437268174,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1437361623,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437380219,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437393592,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437562386,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437653110,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437778446,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437907169,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1437989852,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447007430,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447201678,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447205042,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447211818,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1447232772,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447241757,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1447246624,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447249099,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447252135,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447312368,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447355003,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447405899,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447451794,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1447455720,01-08-2025,2,90,0,0,0,0,0,0,0,0,0,0
1447675640,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1457340390,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1457341760,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1457349771,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1457448292,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1457499618,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1457536344,01-08-2025,4,30,0,0,0,0,0,0,0,0,0,0
1457577470,01-08-2025,1.333333333,30,0,0,0,0,0,0,0,0,0,0
1457615270,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1457640807,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1457650848,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1457728396,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1457844151,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467133785,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467413591,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1467421131,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1467423509,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
